ptx,pty,docIds,idShort,title,pubDate,category,terms1,stems,firms,keywordsFound
-11.97961983,18.39262419,1647554821_6518788,171,Architecture_sfmoma-expansion,4/28/2016,Architecture,unusually;façade;frp;botta,unusu;façad;frp;botta,,
-4.188255201,21.96215307,1647554868_227269,172,Architecture_shelter-design,10/4/2021,Architecture,photo;temporary;shortages;shelter;solar-power;we’ve;porch;uprooted;tents,famili;temporari;displac;shelter;solar-pow;violenc;porch;uproot;tent,,solar;solar energy
48.46548846,9.639710561,1647554823_4763076,173,Architecture_shipping-container-home,7/19/2016,Architecture,install;travis;containing;advocates;stacks;burke;saxe,ship;travi;contain;advoc;stack;burk;sax,,embodied energy
-19.02192099,-0.343882657,1647554836_5859113,174,Architecture_skatepark-plan,6/19/2019,Architecture,crystals;queen;london;grounds;skateboarding;iain,crystal;queen;london;bowl;skateboard;iain,,social
-10.47303919,7.404942617,1647813153_836108,175,Architecture_skills-based-volunteering,4/26/2016,Architecture,nonprofit;pro;bono;courses,nonprofit;pro;bono;volunt,,solar
-8.800255567,-5.987653446,1647554817_6768947,176,Architecture_small-business-for-sale-7-tips-on-how-to-sell-your-company,7/21/2014,Architecture,keep;business;median;quarter;sales;cash;buyer;finance;tips;successful;you’ll;seller,sell;busi;median;quarter;sale;cash;buyer;financ;tip;small-busi;summari;seller,,
4.801997357,25.85447761,1647554839_656731,177,Architecture_smart-architecture,1/16/2020,Architecture,convenience;smart-home,conveni;smart-hom,,environmental;air quality;bim
37.89549257,-6.433293015,1647554838_743722,178,Architecture_smart-building-technology,11/19/2019,Architecture,plugging;ethernet;off-the-shelf,plug;ethernet;smart-build,,bim
22.41967894,10.01856405,1647554843_1569357,179,Architecture_social-justice-in-design,8/6/2020,Architecture,street;history;color;negative;american;inequality;narrative;race;black;racism;gun;protests;indentured;dignified;false,street;histori;color;neg;american;inequ;narr;race;black;racism;polic;protest;slave;dignifi;fals,,social
30.72641331,0.154901665,1647554860_7371624,180,Architecture_solar-architecture,10/8/2021,Architecture,one;gets;solar;minds;barriers;celebrate;afterthought;long-standing;barcelona;creating;solar-panel;appraised;planar,panel;instal;solar;fit;barrier;celebr;afterthought;long-stand;barcelona;green-collar;solar-panel;apprais;planar,,solar;solar energy
-4.184476564,-10.37289463,1647554848_503337,181,Architecture_sports-stadium-design,9/29/2021,Architecture,aquatics;pool;athletic;pride;manila;southeast;filipino;nicolas,aquat;pool;athlet;pride;manila;southeast;filipino;nicola,aidea,bim
